GeneUID	ProteinSeqLength	NoCysIUPredMeanISD	SequenceUID	Phylostratum	GeneFamilyPhylostratum	GeneFamilyNumber	Stickiness	Hubness	HydrophobicDispersionBlock6	ConglomerateFamilyDesignationIncludingDubious	ExcludedAsDubious	ExcludedAsScerevisiaeSpecific	ExcludedAsUnclassified	CarvunisConservationLevels	GenesUsedByCarvunis	Skudriavzevii	GeneFamilyPhyloTaxonomicGroup	TangoHexamerAPRNum	TangoPentamerAPRNum	WaltzHexamerAPRNum	WaltzPentamerAPRNum	TangoHexamerNumAAInAPRs	TangoPentamerNumAAInAPRs	WaltzHexamerNumAAInAPRs	WaltzPentamerNumAAInAPRs	TangoHexamerAPRDensity	TangoPentamerAPRDensity	WaltzHexamerAPRDensity	WaltzPentamerAPRDensity	TangoHexamerAAInAPRsDensity	TangoPentamerAAInAPRsDensity	WaltzHexamerAAInAPRsDensity	WaltzPentamerAAInAPRsDensity
YAL063C-A	96	0.0387	11	10	10	2874	0	0	1.1598750976	A	0	1	0	2	1	0	Saccharomyces_cerevisiae	2	3	3	3	15	20	36	36	0.02187500000000	0.03229166600000	0.03229166600000	0.03229166600000	0.16145833300000	0.21354166600000	0.38020833300000	0.38020833300000
YAL063C	1322	0.5227	12	7	7	2746	1	0	0.9709044569	ANR	0	0	0	10	1	0	Saccharomyceta	10	26	11	11	95	175	96	96	0.00763993900000	0.01974281300000	0.00839636900000	0.00839636900000	0.07223903100000	0.13275340300000	0.07299546100000	0.07299546100000
YAL062W	457	0.2569	13	1	1	36	4	1	0.7901840491	A	0	0	0	10	1	0	Cellular_Organisms	5	5	4	4	60	60	34	34	0.01115973700000	0.01115973700000	0.00897155300000	0.00897155300000	0.13238512000000	0.13238512000000	0.07549234100000	0.07549234100000
YAL061W	417	0.2996	14	1	1	5416	0	0	0.7735763671	A	0	0	0	10	1	0	Cellular_Organisms	2	4	4	4	16	26	28	28	0.00503597100000	0.00983213400000	0.00983213400000	0.00983213400000	0.03956834500000	0.06354916000000	0.06834532300000	0.06834532300000
YAL060W	382	0.2647	15	1	1	5416	1	0	0.7483032472	A	0	0	0	10	1	0	Cellular_Organisms	2	4	2	2	18	28	15	15	0.00549738200000	0.01073298400000	0.00549738200000	0.00549738200000	0.04842931900000	0.07460732900000	0.04057591600000	0.04057591600000
YAL059C-A	140	0.0087	16	10	10	1941	0	0	1.1460802076	A	0	0	0		0	0	Saccharomyces_cerevisiae	3	4	4	4	29	34	50	50	0.02214285700000	0.02928571400000	0.02928571400000	0.02928571400000	0.21071428500000	0.24642857100000	0.36071428500000	0.36071428500000
YAL059W	212	0.4482	17	8	8	692	3	1	0.9015253131	A	0	0	0	6	1	0	Saccharomycetales	2	2	1	1	15	15	6	6	0.00990566000000	0.00990566000000	0.00518867900000	0.00518867900000	0.07311320700000	0.07311320700000	0.03066037700000	0.03066037700000
YAL058W	502	0.3124	18	2	2	246	1	0	0.9167623521	A	0	0	0	10	1	0	Eukaryota	6	6	7	7	68	68	57	57	0.01215139400000	0.01215139400000	0.01414342600000	0.01414342600000	0.13645418300000	0.13645418300000	0.11454183200000	0.11454183200000
YAL056C-A	116	0.1444	19	10	10	4963	0	0	0.9642510368	A	1	0	0	1	1	0	Saccharomyces_cerevisiae	2	2	2	2	15	15	26	26	0.01810344800000	0.01810344800000	0.01810344800000	0.01810344800000	0.13362068900000	0.13362068900000	0.22844827500000	0.22844827500000
YAL056W	880	0.3478	20	8	8	4178	2	0	0.9962659452	A	0	0	0	10	1	0	Saccharomycetales	8	9	13	13	74	79	105	105	0.00920454500000	0.01034090900000	0.01488636300000	0.01488636300000	0.08465909000000	0.09034090900000	0.11988636300000	0.11988636300000
YAL055W	180	0.3324	21	8	8	3403	3	0	1.3594509175	A	0	0	0	6	1	0	Saccharomycetales	2	2	1	1	26	26	8	8	0.01166666600000	0.01166666600000	0.00611111100000	0.00611111100000	0.14722222200000	0.14722222200000	0.04722222200000	0.04722222200000
YAL054C	713	0.2524	22	1	1	3391	4	0	0.9148813010	A	0	0	0	10	1	0	Cellular_Organisms	8	14	9	10	65	95	80	85	0.01136044800000	0.01977559600000	0.01276297300000	0.01416549700000	0.09186535700000	0.13394109300000	0.11290322500000	0.11991584800000
YAL053W	783	0.1767	23	4	2	49	0	1	1.3275811544	AR	0	0	0	10	1	0	Eukaryota	18	21	14	14	243	258	230	230	0.02311621900000	0.02694763700000	0.01800766200000	0.01800766200000	0.31098339700000	0.33014048500000	0.29438058700000	0.29438058700000
YAL051W	1047	0.2754	24	2	2	4826	0	0	1.1612896128	AN	0	0	0	10	1	0	Eukaryota	12	18	7	8	136	166	76	81	0.01155682900000	0.01728748800000	0.00678127900000	0.00773638900000	0.13037249200000	0.15902578700000	0.07306590200000	0.07784145100000
YAL049C	246	0.1653	25	1	1	2052	2	0	1.0927095517	A	0	0	0	9	1	0	Cellular_Organisms	4	6	3	3	38	48	25	25	0.01666666600000	0.02479674700000	0.01260162600000	0.01260162600000	0.15650406500000	0.19715447100000	0.10365853600000	0.10365853600000
YAL048C	662	0.1584	26	1	1	3324	2	1	1.0133997542	A	0	0	0	10	1	0	Cellular_Organisms	10	14	8	8	94	114	72	72	0.01525679700000	0.02129909300000	0.01223564900000	0.01223564900000	0.14274924400000	0.17296072500000	0.10951661600000	0.10951661600000
YAL047W-A	109	0.0737	27	10	10	3895	0	0	1.2588235294	A	1	0	0	3	1	0	Saccharomyces_cerevisiae	3	3	1	1	34	34	26	26	0.02844036600000	0.02844036600000	0.01009174300000	0.01009174300000	0.31651376100000	0.31651376100000	0.24311926600000	0.24311926600000
YAL047C	622	0.3984	28	9	9	1578	16	3	0.8533242773	A	0	0	0	7	1	0	Saccharomycetaceae	4	6	10	10	25	35	109	109	0.00659163900000	0.00980707300000	0.01623794200000	0.01623794200000	0.04099678400000	0.05707395400000	0.17604501600000	0.17604501600000
YAL046C	118	0.3698	29	1	1	2334	3	0	0.6106629714	A	0	0	0	10	1	0	Cellular_Organisms	1	1	2	2	6	6	15	15	0.00932203300000	0.00932203300000	0.01779661000000	0.01779661000000	0.05508474500000	0.05508474500000	0.13135593200000	0.13135593200000
YAL045C	102	0.0484	30	10	10	2289	0	0	0.9403235653	A	0	0	0		0	0	Saccharomyces_cerevisiae	2	3	3	3	30	35	32	32	0.02058823500000	0.03039215600000	0.03039215600000	0.03039215600000	0.29901960700000	0.34803921500000	0.31862745000000	0.31862745000000
YAL044W-A	110	0.3684	31	1	1	4821	0	0	0.7316446010	A	0	0	0	4	1	0	Cellular_Organisms	2	2	0	0	12	12	0	0	0.01909090900000	0.01909090900000	0.00090909000000	0.00090909000000	0.11363636300000	0.11363636300000	0.00454545400000	0.00454545400000
YAL044C	170	0.4164	32	1	1	1331	1	0	0.7748149473	A	0	0	0	10	1	0	Cellular_Organisms	1	1	4	4	7	7	25	25	0.00647058800000	0.00647058800000	0.02411764700000	0.02411764700000	0.04411764700000	0.04411764700000	0.15000000000000	0.15000000000000
YAL043C	785	0.3005	33	2	2	1922	5	18	1.1090495619	A	0	0	0	10	1	0	Eukaryota	8	10	8	8	88	98	55	55	0.01031847100000	0.01286624200000	0.01031847100000	0.01031847100000	0.11273885300000	0.12547770700000	0.07070063600000	0.07070063600000
YAL042C-A	125	0.3083	34	10	10	2569	0	0	1.0849252762	A	1	0	0	2	1	0	Saccharomyces_cerevisiae	1	1	1	1	18	18	7	7	0.00880000000000	0.00880000000000	0.00880000000000	0.00880000000000	0.14800000000000	0.14800000000000	0.06000000000000	0.06000000000000
YAL042W	415	0.3577	35	2	2	3150	1	3	1.0615178196	A	0	0	0	10	1	0	Eukaryota	3	3	5	5	45	45	44	44	0.00746987900000	0.00746987900000	0.01228915600000	0.01228915600000	0.10963855400000	0.10963855400000	0.10722891500000	0.10722891500000
YAL041W	854	0.3440	36	2	2	572	21	4	1.0866458672	A	0	0	0	10	1	0	Eukaryota	5	10	11	11	58	83	92	92	0.00597189600000	0.01182669700000	0.01299765800000	0.01299765800000	0.06850117000000	0.09777517500000	0.10831381700000	0.10831381700000
YAL040C	580	0.2661	37	2	2	857	5	0	0.9921782490	A	0	0	0	10	1	0	Eukaryota	5	6	9	9	50	55	95	95	0.00879310300000	0.01051724100000	0.01568965500000	0.01568965500000	0.08706896500000	0.09568965500000	0.16465517200000	0.16465517200000
YAL039C	269	0.5255	38	2	2	1606	0	0	0.9348578077	A	0	0	0	10	1	0	Eukaryota	1	2	0	0	8	13	0	0	0.00408921900000	0.00780669100000	0.00037174700000	0.00037174700000	0.03159851300000	0.05018587300000	0.00185873600000	0.00185873600000
YAL038W	500	0.2916	39	1	1	4519	3	5	0.8626409399	A	0	0	0	10	1	0	Cellular_Organisms	4	8	5	6	31	51	37	42	0.00820000000000	0.01620000000000	0.01020000000000	0.01220000000000	0.06300000000000	0.10300000000000	0.07500000000000	0.08500000000000
YAL037C-B	324	0.2198	40	1	1	3089	0	0	1.2609590573	A	0	0	0		0	0	Cellular_Organisms	7	11	5	5	52	72	47	47	0.02191358000000	0.03425925900000	0.01574074000000	0.01574074000000	0.16203703700000	0.22376543200000	0.14660493800000	0.14660493800000
YAL037C-A	30	0.0429	41	10	10	1927	0	0	1.2888888889	A	0	1	0	1	1	0	Saccharomyces_cerevisiae	1	2	2	2	8	13	19	19	0.03666666600000	0.07000000000000	0.07000000000000	0.07000000000000	0.28333333300000	0.45000000000000	0.65000000000000	0.65000000000000
YAL037W	267	0.1492	42	9	9	4206	0	0	0.7457559609	A	0	0	0	6	1	0	Saccharomycetaceae	4	5	6	6	38	43	52	52	0.01535580500000	0.01910112300000	0.02284644100000	0.02284644100000	0.14419475600000	0.16292134800000	0.19662921300000	0.19662921300000
YAL036C	369	0.2097	43	1	1	3419	10	2	0.9309903431	A	0	0	0	10	1	0	Cellular_Organisms	2	5	2	2	16	31	16	16	0.00569105600000	0.01382113800000	0.00569105600000	0.00569105600000	0.04471544700000	0.08536585300000	0.04471544700000	0.04471544700000
YAL035W	1002	0.4443	44	1	1	93	4	22	1.3017233003	A	0	0	0	10	1	0	Cellular_Organisms	7	11	5	5	56	76	66	66	0.00708582800000	0.01107784400000	0.00508982000000	0.00508982000000	0.05638722500000	0.07634730500000	0.06636726500000	0.06636726500000
YAL034C-B	117	0.0757	45	10	10	5037	0	0	1.0146754918	A	1	0	0	4	1	0	Saccharomyces_cerevisiae	2	2	4	4	24	24	49	49	0.01794871700000	0.01794871700000	0.03504273500000	0.03504273500000	0.20940170900000	0.20940170900000	0.42307692300000	0.42307692300000
YAL034W-A	289	0.2802	46	2	2	330	0	0	0.8923132030	A	0	0	0	10	1	0	Eukaryota	1	2	3	3	7	12	23	23	0.00380622800000	0.00726643500000	0.01072664300000	0.01072664300000	0.02595155700000	0.04325259500000	0.08131487800000	0.08131487800000
YAL034C	413	0.4589	47	2	2	3797	1	2	0.8321985813	AN	0	0	0	10	1	0	Eukaryota	1	2	5	5	7	12	40	40	0.00266343800000	0.00508474500000	0.01234866800000	0.01234866800000	0.01815980600000	0.03026634300000	0.09806295300000	0.09806295300000
YAL033W	173	0.2226	48	1	1	1382	6	5	1.2191493359	A	0	0	0	10	1	0	Cellular_Organisms	2	2	5	5	18	18	37	37	0.01213872800000	0.01213872800000	0.02947976800000	0.02947976800000	0.10693641600000	0.10693641600000	0.21676300500000	0.21676300500000
YAL032C	379	0.5443	49	2	2	1253	52	19	1.0183022831	A	0	0	0	10	1	0	Eukaryota	0	1	0	0	0	5	0	0	0.00026385200000	0.00290237400000	0.00026385200000	0.00026385200000	0.00131926100000	0.01451187300000	0.00131926100000	0.00131926100000
YAL031W-A	102	0.0662	50	10	10	4080	0	0	0.9468750000	A	1	0	0	1	1	0	Saccharomyces_cerevisiae	3	4	4	4	23	28	35	35	0.03039215600000	0.04019607800000	0.04019607800000	0.04019607800000	0.23039215600000	0.27941176400000	0.34803921500000	0.34803921500000
YAL031C	760	0.3444	51	8	8	1336	2	1	1.0291729111	A	0	0	0	7	1	0	Saccharomycetales	2	3	5	5	19	24	73	73	0.00276315700000	0.00407894700000	0.00671052600000	0.00671052600000	0.02565789400000	0.03223684200000	0.09671052600000	0.09671052600000
YAL030W	117	0.3319	52	2	2	5023	3	0	1.9445906946	A	0	0	0	10	1	0	Eukaryota	1	1	1	1	16	16	21	21	0.00940170900000	0.00940170900000	0.00940170900000	0.00940170900000	0.14102564100000	0.14102564100000	0.18376068300000	0.18376068300000
YAL029C	1471	0.1943	53	1	1	3713	3	7	0.8733878556	A	0	0	0	10	1	0	Cellular_Organisms	20	29	26	27	189	234	264	269	0.01366417400000	0.01978246000000	0.01774303100000	0.01842284100000	0.12882392900000	0.15941536300000	0.17980965300000	0.18320870100000
YAL028W	528	0.5195	54	9	9	3542	6	0	1.0808800287	A	0	0	0	6	1	0	Saccharomycetaceae	2	2	1	2	21	21	15	20	0.00397727200000	0.00397727200000	0.00208333300000	0.00397727200000	0.04071969600000	0.04071969600000	0.02935606000000	0.03882575700000
YAL027W	261	0.2161	55	8	8	3646	1	3	0.9777076878	A	0	0	0	6	1	0	Saccharomycetales	4	4	3	3	26	26	24	24	0.01570881200000	0.01570881200000	0.01187739400000	0.01187739400000	0.10153256700000	0.10153256700000	0.09386973100000	0.09386973100000
YAL026C-A	145	0.0585	56	10	10	4129	0	0	1.1439184241	A	1	0	0	4	1	0	Saccharomyces_cerevisiae	4	4	3	3	56	56	39	39	0.02827586200000	0.02827586200000	0.02137931000000	0.02137931000000	0.38965517200000	0.38965517200000	0.27241379300000	0.27241379300000
YAL026C	1355	0.2369	57	1	1	4662	8	1	1.1414118162	A	0	0	0	10	1	0	Cellular_Organisms	21	27	24	24	237	267	329	329	0.01557195500000	0.02000000000000	0.01778597700000	0.01778597700000	0.17527675200000	0.19741697400000	0.24317343100000	0.24317343100000
YAL025C	306	0.5464	58	2	2	243	0	0	0.9993337253	A	0	0	0	10	1	0	Eukaryota	2	2	1	2	12	12	6	11	0.00686274500000	0.00686274500000	0.00359477100000	0.00686274500000	0.04084967300000	0.04084967300000	0.02124183000000	0.03758169900000
YAL024C	1435	0.4047	59	2	2	4942	5	3	0.9600098383	A	0	0	0	10	1	0	Eukaryota	10	14	15	15	86	106	155	155	0.00703832700000	0.00982578300000	0.01052264800000	0.01052264800000	0.06027874500000	0.07421602700000	0.10836236900000	0.10836236900000
YAL023C	759	0.1724	60	1	1	3572	0	1	1.2118758854	A	0	0	0	10	1	0	Cellular_Organisms	12	14	12	12	152	162	158	158	0.01594202800000	0.01857707500000	0.01594202800000	0.01594202800000	0.20092226600000	0.21409749600000	0.20882740400000	0.20882740400000
YAL022C	517	0.1488	61	2	2	4108	2	0	1.5401030681	A	0	0	0	9	1	0	Eukaryota	14	14	13	13	171	171	211	211	0.02727272700000	0.02727272700000	0.02533849100000	0.02533849100000	0.33172147000000	0.33172147000000	0.40909090900000	0.40909090900000
YAL021C	837	0.3793	62	1	1	1250	11	6	0.9093051882	A	0	0	0	10	1	0	Cellular_Organisms	6	9	8	10	42	57	98	108	0.00728793300000	0.01087216200000	0.00967741900000	0.01206690500000	0.05077658300000	0.06869772900000	0.11768219800000	0.12962962900000
YAL020C	333	0.3681	63	1	1	496	2	0	0.9993628159	A	0	0	0	9	1	0	Cellular_Organisms	5	6	2	2	52	57	13	13	0.01531531500000	0.01831831800000	0.00630630600000	0.00630630600000	0.15765765700000	0.17267267200000	0.04054054000000	0.04054054000000
YAL019W-A	189	0.1108	64	10	10	2502	0	0	0.9686362595	A	1	0	0	4	1	0	Saccharomyces_cerevisiae	3	4	3	4	27	32	26	31	0.01640211600000	0.02169312100000	0.01640211600000	0.02169312100000	0.14550264500000	0.17195767100000	0.14021164000000	0.16666666600000
YAL019W	1131	0.4525	65	1	1	1690	1	0	1.0802701495	A	0	0	0	10	1	0	Cellular_Organisms	12	13	13	14	102	107	126	131	0.01069849600000	0.01158267000000	0.01158267000000	0.01246684300000	0.09062776300000	0.09504862900000	0.11184792200000	0.11626878800000
YAL018C	325	0.0482	66	5	2	4340	0	0	1.1576567284	ANN	0	0	0	9	1	0	Eukaryota	10	10	9	9	126	126	159	159	0.03107692300000	0.03107692300000	0.02800000000000	0.02800000000000	0.38923076900000	0.38923076900000	0.49076923000000	0.49076923000000
YAL017W	1356	0.3720	67	1	1	202	1	3	0.9109266499	A	0	0	0	10	1	0	Cellular_Organisms	11	18	11	11	84	119	104	104	0.00818584000000	0.01334808200000	0.00818584000000	0.00818584000000	0.06231563400000	0.08812684300000	0.07706489600000	0.07706489600000
YAL016C-B	61	0.0388	68	10	10	4554	0	0	0.8424485438	A	1	0	0	2	1	0	Saccharomyces_cerevisiae	3	3	3	3	31	31	33	33	0.05081967200000	0.05081967200000	0.05081967200000	0.05081967200000	0.51639344200000	0.51639344200000	0.54918032700000	0.54918032700000
YAL016C-A	104	0.0350	69	10	10	5383	0	0	1.3825809640	A	1	0	0	4	1	0	Saccharomyces_cerevisiae	3	3	4	4	44	44	40	40	0.02980769200000	0.02980769200000	0.03942307600000	0.03942307600000	0.42788461500000	0.42788461500000	0.38942307600000	0.38942307600000
YAL016W	635	0.1317	70	1	1	326	10	13	0.9057251383	A	0	0	0	10	1	0	Cellular_Organisms	10	13	11	11	92	107	104	104	0.01590551100000	0.02062992100000	0.01748031400000	0.01748031400000	0.14566929100000	0.16929133800000	0.16456692900000	0.16456692900000
YAL015C	399	0.2512	71	1	1	4862	0	1	0.8111936646	A	0	0	0	10	1	0	Cellular_Organisms	3	3	4	5	28	28	34	39	0.00776942300000	0.00776942300000	0.01027568900000	0.01278195400000	0.07142857100000	0.07142857100000	0.08646616500000	0.09899749300000
YAL014C	255	0.4528	72	5	5	4182	4	0	1.4491879824	A	0	0	0	9	1	0	Dikarya	1	1	2	2	17	17	26	26	0.00431372500000	0.00431372500000	0.00823529400000	0.00823529400000	0.06862745000000	0.06862745000000	0.10392156800000	0.10392156800000
YAL013W	405	0.5548	73	4	4	892	1	10	0.8515918963	A	0	0	0	9	1	0	Fungi	0	1	3	3	0	5	21	21	0.00024691300000	0.00271604900000	0.00765432000000	0.00765432000000	0.00123456700000	0.01358024600000	0.05308641900000	0.05308641900000
YAL012W	394	0.2781	74	1	1	509	3	0	0.8878409606	A	0	0	0	10	1	0	Cellular_Organisms	1	4	3	3	9	24	22	22	0.00279187800000	0.01040609100000	0.00786802000000	0.00786802000000	0.02411167500000	0.06218274100000	0.05710659800000	0.05710659800000
YAL011W	625	0.5606	75	6	6	2506	8	12	1.0380767403	A	0	0	0	7	1	0	Ascomycota	1	2	7	7	8	13	50	50	0.00176000000000	0.00336000000000	0.01136000000000	0.01136000000000	0.01360000000000	0.02160000000000	0.08080000000000	0.08080000000000
YAL010C	493	0.2478	76	3	3	526	0	0	0.7498333264	A	0	0	0	10	1	0	Opisthokonta	3	4	8	8	22	27	70	70	0.00628803200000	0.00831643000000	0.01643002000000	0.01643002000000	0.04563894500000	0.05578093300000	0.14300202800000	0.14300202800000
YAL009W	259	0.1658	77	5	5	2426	0	0	1.1260652022	A	0	0	0	10	1	0	Dikarya	3	3	4	4	44	44	41	41	0.01196911100000	0.01196911100000	0.01583011500000	0.01583011500000	0.17181467100000	0.17181467100000	0.16023166000000	0.16023166000000
YAL008W	198	0.0977	78	8	8	1719	1	0	0.9022090517	A	0	0	0	6	1	0	Saccharomycetales	5	5	1	1	66	66	10	10	0.02575757500000	0.02575757500000	0.00555555500000	0.00555555500000	0.33585858500000	0.33585858500000	0.05303030300000	0.05303030300000
YAL007C	215	0.1274	79	2	2	3234	1	5	1.3481776650	A	0	0	0	10	1	0	Eukaryota	2	2	4	4	36	36	51	51	0.00976744100000	0.00976744100000	0.01906976700000	0.01906976700000	0.16976744100000	0.16976744100000	0.23953488300000	0.23953488300000
YAL005C	642	0.4122	80	1	1	2864	3	12	0.8882182448	A	0	0	0	10	1	0	Cellular_Organisms	6	8	5	5	39	49	31	31	0.00950155700000	0.01261682200000	0.00794392500000	0.00794392500000	0.06152647900000	0.07710280300000	0.04906542000000	0.04906542000000
YAL004W	215	0.1560	81	1	1	3009	0	0	0.9253558261	A	0	0	0		0	0	Cellular_Organisms	4	4	2	2	31	31	19	19	0.01906976700000	0.01906976700000	0.00976744100000	0.00976744100000	0.14651162700000	0.14651162700000	0.09069767400000	0.09069767400000
YAL003W	206	0.3756	82	2	2	737	2	4	1.0056876038	A	0	0	0	10	1	0	Eukaryota	0	1	2	2	0	5	12	12	0.00048543600000	0.00533980500000	0.01019417400000	0.01019417400000	0.00242718400000	0.02669902900000	0.06067961100000	0.06067961100000
YAL002W	1274	0.1413	83	2	2	1443	7	4	1.0884988124	A	0	0	0	10	1	0	Eukaryota	29	34	27	27	258	283	268	268	0.02284144400000	0.02676609100000	0.02127158500000	0.02127158500000	0.20290423800000	0.22252747200000	0.21075353200000	0.21075353200000
YAL001C	1160	0.2795	84	4	4	4725	0	5	0.9144798042	A	0	0	0	10	1	0	Fungi	9	19	13	15	86	136	107	117	0.00784482700000	0.01646551700000	0.01129310300000	0.01301724100000	0.07456896500000	0.11767241300000	0.09267241300000	0.10129310300000
YAR002W	539	0.5905	85	6	6	5337	0	6	0.9354953741	A	0	0	0	10	1	0	Ascomycota	2	4	5	5	17	27	38	38	0.00389610300000	0.00760667900000	0.00946196600000	0.00946196600000	0.03246753200000	0.05102040800000	0.07142857100000	0.07142857100000
YAR002C-A	219	0.1710	86	2	2	3286	0	0	1.2030039563	A	0	0	0	10	1	0	Eukaryota	3	4	7	7	41	46	53	53	0.01415525100000	0.01872146100000	0.03242009100000	0.03242009100000	0.18949771600000	0.21232876700000	0.24429223700000	0.24429223700000
YAR003W	426	0.2164	87	1	1	884	4	9	0.6842801788	A	0	0	0	10	1	0	Cellular_Organisms	5	7	4	4	36	46	32	32	0.01197183000000	0.01666666600000	0.00962441300000	0.00962441300000	0.08568075100000	0.10915492900000	0.07629107900000	0.07629107900000
YAR007C	621	0.3250	88	1	1	3826	9	15	0.8801245482	A	0	0	0	10	1	0	Cellular_Organisms	6	9	7	8	45	60	61	66	0.00982286600000	0.01465378400000	0.01143317200000	0.01304347800000	0.07326892100000	0.09742351000000	0.09903381600000	0.10708534600000
YAR008W	275	0.1709	89	1	1	4457	4	0	0.9320135274	A	0	0	0	10	1	0	Cellular_Organisms	1	2	3	3	8	13	24	24	0.00400000000000	0.00763636300000	0.01127272700000	0.01127272700000	0.03090909000000	0.04909090900000	0.08909090900000	0.08909090900000
YAR009C	1196	0.3653	90	1	1	2382	0	0	0.9286201912	A	0	0	0		0	0	Cellular_Organisms	11	17	15	17	87	117	162	172	0.00928093600000	0.01429765800000	0.01262541800000	0.01429765800000	0.07316053500000	0.09824414700000	0.13586956500000	0.14423076900000
YAR010C	440	0.6118	91	9	9	3332	0	0	1.1856515597	AOR	0	0	0		0	1	Saccharomycetaceae	1	2	4	4	11	16	30	30	0.00250000000000	0.00477272700000	0.00931818100000	0.00931818100000	0.02613636300000	0.03750000000000	0.06931818100000	0.06931818100000
YAR014C	709	0.6644	92	4	4	3017	56	3	0.8256407785	A	0	0	0	10	1	0	Fungi	2	2	3	3	13	13	20	20	0.00296191800000	0.00296191800000	0.00437235500000	0.00437235500000	0.01904090200000	0.01904090200000	0.02891396300000	0.02891396300000
YAR015W	306	0.2445	93	1	1	3588	1	0	0.9640276003	A	0	0	0	10	1	0	Cellular_Organisms	4	4	2	2	39	39	19	19	0.01339869200000	0.01339869200000	0.00686274500000	0.00686274500000	0.12908496700000	0.12908496700000	0.06372549000000	0.06372549000000
YAR018C	435	0.2588	94	1	1	4218	14	0	0.8794224091	A	0	0	0	10	1	0	Cellular_Organisms	6	6	6	6	49	49	54	54	0.01402298800000	0.01402298800000	0.01402298800000	0.01402298800000	0.11379310300000	0.11379310300000	0.12528735600000	0.12528735600000
YAR019C	974	0.1666	95	1	1	4836	1	0	0.8264046150	A	0	0	0	10	1	0	Cellular_Organisms	16	21	16	16	153	178	194	194	0.01652977400000	0.02166324400000	0.01652977400000	0.01652977400000	0.15759753500000	0.18326488700000	0.19969199100000	0.19969199100000
