GeneUID	SequenceUID	CordesBinaryHydrophobicDispersionBlock6
YAR014C	92	0.9868905317
YAR015W	93	0.7998686112
YAR018C	94	0.9654572586
YAR019C	95	0.9606341689
YAR019W-A	96	1.2698278073
YAR020C	97	1.7390625000
YAR023C	98	1.2146260765
YAR027W	99	1.5615031436
YAR028W	100	1.2852732794
YAR029W	101	0.9866389962
YAR030C	102	0.5785165337
YAR031W	103	1.1950026436
YAR033W	104	1.2513426423
YAR035W	105	0.7326572691
YAR035C-A	106	1.2777777778
YAR042W	107	1.0035029959
YAR047C	108	0.8973461538
YAR050W	109	0.8909808968
YAR053W	110	1.1975602501
YAR060C	111	1.1822211582
YAR064W	112	1.1057036709
YAR066W	113	0.9084284378
YAR068W	114	0.8242389702
YAR069C	115	1.0164609053
YAR070C	116	0.6755858458
YAR071W	117	0.8327972914
YAR073W	118	0.9911710881
YAR075W	119	1.2770722483
YBL113C	120	1.1605345350
YBL113W-A	121	1.0565969101
YBL112C	122	0.9685355392
YBL111C	123	1.0202650949
YBL109W	124	0.9439072840
YBL108C-A	125	1.1803030303
YBL108W	126	0.7853480114
YBL107W-A	127	1.6545535714
YBL107C	128	0.6979250654
YBL106C	129	0.8604824921
YBL105C	130	1.0663806054
YBL104C	131	1.0812541575
YBL103C	132	0.9477544195
YBL102W	133	1.4297920663
YBL101C	134	0.8591609954
YBL100W-C	135	0.8312500000
YBL100W-B	136	1.0486489896
YBL100W-A	137	1.0016566812
YBL100C	138	1.4015294537
YBL099W	139	0.7903963350
YBL098W	140	1.1381946595
YBL097W	141	1.0531399414
YBL096C	142	0.9076797386
YBL095W	143	0.8532217782
YBL094C	144	1.1356391748
YBL093C	145	1.0801293393
YBL092W	146	1.0667903525
YBL091C-A	147	1.3379639558
YBL091C	148	0.8052152059
YBL090W	149	0.8005633172
YBL089W	150	1.4588615316
YBL088C	151	0.8858855250
YBL087C	152	0.7797721005
YBL086C	153	1.0748958788
YBL085W	154	1.1526222259
YBL084C	155	1.0231174652
YBL083C	156	1.5008032206
YBL082C	157	1.1156550069
YBL081W	158	1.2640692641
YBL080C	159	0.8148811040
YBL079W	160	0.9608480220
YBL078C	161	1.1091551441
YBL077W	162	0.8580752002
YBL076C	163	0.7717415758
YBL075C	164	1.0207806650
YBL074C	165	0.8469109187
YBL073W	166	1.6467391304
YBL072C	167	0.7153374143
YBL071C-B	168	0.6928194355
YBL071W-A	169	0.8244756369
YBL071C	170	0.7481481481
YBL070C	171	0.6232681808
YBL069W	172	0.8343075513
YBL068W-A	173	0.8631114130
YBL068W	174	0.9908644541
YBL067C	175	0.9793379942
YBL066C	176	1.0805121307
YBL065W	177	1.3202026468
YBL064C	178	0.7325297342
YBL063W	179	0.8582098551
YBL062W	180	0.7257860041
YBL061C	181	0.8769602078
YBL060W	182	0.8982251134
YBL059C-A	183	1.0968448348
YBL059W	184	1.3478593432
YBL058W	185	0.9150678360
YBL057C	186	1.2413478748
YBL056W	187	1.1396984991
YBL055C	188	0.7909120476
YBL054W	189	0.9075280701
YBL053W	190	1.7029071232
YBL052C	191	0.9827027929
YBL051C	192	0.8951981563
YBL050W	193	0.6340176391
YBL049W	194	1.0153162055
YBL048W	195	0.8982311786
YBL047C	196	0.9977826663
YBL046W	197	1.1430984187
YBL045C	198	0.9406115124
YBL044W	199	0.7560919802
YBL043W	200	1.1183833046
YBL042C	201	1.2439188138
YBL041W	202	1.3998817924
YBL040C	203	1.0650154799
YBL039W-B	204	2.1823427109
YBL039C	205	1.0906567944
YBL039C-A	206	1.6433039183
YBL038W	207	0.7414424036
YBL037W	208	0.9624606090
YBL036C	209	0.9842248198
YBL035C	210	0.9362480196
YBL034C	211	1.0975166961
YBL033C	212	1.1647123137
YBL032W	213	1.2462214500
YBL031W	214	0.6829558110
YBL030C	215	0.9851733521
YBL029C-A	216	1.4351102780
YBL029W	217	1.1250146340
YBL028C	218	0.7799751428
YBL027W	219	0.6998607497
YBL026W	220	0.7452871685
YBL025W	221	0.8913867094
YBL024W	222	0.8650439303
YBL023C	223	1.0276902799
YBL022C	224	1.0723861183
YBL021C	225	0.6296762257
YBL020W	226	1.2587316585
YBL019W	227	1.0225369712
YBL018C	228	0.5239939597
YBL017C	229	1.0655186219
YBL016W	230	0.9233975403
YBL015W	231	0.7921446559
YBL014C	232	1.0794566041
YBL013W	233	0.8721339123
YBL012C	234	0.7778026827
YBL011W	235	1.3013757967
YBL010C	236	0.9054549803
YBL009W	237	0.8935044314
YBL008W-A	238	0.9764492754
YBL008W	239	0.9162313752
YBL007C	240	1.0871696312
YBL006C	241	1.1229035975
YBL006W-A	242	0.5828373016
YBL005W	243	0.9151701229
YBL005W-A	244	1.0303304601
YBL005W-B	245	1.0390595228
YBL004W	246	1.0147213678
YBL003C	247	0.9754633426
YBL002W	248	0.8983674275
YBL001C	249	0.9528095917
YBR001C	250	1.0817759064
YBR002C	251	0.8234790235
YBR003W	252	0.9187000155
YBR004C	253	1.2084637454
YBR005W	254	1.6974555744
YBR006W	255	0.8300974504
YBR007C	256	1.1715233598
YBR008C	257	1.8175614478
YBR009C	258	0.8475115741
YBR010W	259	0.7904888791
YBR011C	260	0.8814984282
YBR012C	261	1.0701532510
YBR012W-A	262	1.0528208115
YBR012W-B	263	1.0435740143
YBR013C	264	1.0159976153
YBR014C	265	1.2096370647
YBR015C	266	1.0665404452
YBR016W	267	1.6512877877
YBR017C	268	0.9410798103
YBR018C	269	0.7996652259
YBR019C	270	0.8876728208
YBR020W	271	0.8937310373
YBR021W	272	1.2063420044
YBR022W	273	0.8613923893
YBR023C	274	1.1419415505
YBR024W	275	1.1654201321
YBR025C	276	0.7650864341
YBR026C	277	0.8537077490
YBR027C	278	0.9435778428
YBR028C	279	0.8613877907
YBR029C	280	1.1751477550
YBR030W	281	0.9753238109
YBR031W	282	0.8751100832
YBR032W	283	0.8381471966
YBR033W	284	0.8925406952
YBR034C	285	1.1596840003
YBR035C	286	0.9552198373
YBR036C	287	1.6092626941
YBR037C	288	1.1183525432
YBR038W	289	1.2240410147
YBR039W	290	0.6478424478
YBR040W	291	1.8555168604
YBR041W	292	0.9046630429
YBR042C	293	0.9545992746
YBR043C	294	1.4735186634
YBR044C	295	0.9091320993
YBR045C	296	0.7885660368
YBR046C	297	1.0551537378
YBR047W	298	0.9344358758
YBR048W	299	1.1659574468
YBR049C	300	1.5184780393
YBR050C	301	1.0350923262
YBR051W	302	1.6232658014
YBR052C	303	0.8738465975
YBR053C	304	1.0370278537
YBR054W	305	1.3765905388
YBR055C	306	0.9215068653
YBR056W	307	0.9562224840
YBR056W-A	308	1.4557670773
YBR056C-B	309	1.4143553909
YBR057C	310	1.1047654098
YBR058C	311	0.9996778065
YBR058C-A	312	1.1814195632
YBR059C	313	1.0741402327
YBR060C	314	1.0297416835
YBR061C	315	0.9481141686
YBR062C	316	1.0090496031
YBR063C	317	0.9488518806
YBR064W	318	1.2629275717
YBR065C	319	0.8146381155
YBR066C	320	0.7978160307
YBR067C	321	1.4166107644
YBR068C	322	1.3959483257
YBR069C	323	1.5888110825
YBR070C	324	1.0844144584
YBR071W	325	0.9118137255
YBR072W	326	0.9038271015
YBR072C-A	327	1.4353339947
YBR073W	328	1.0477818846
YBR074W	329	1.2403388648
YBR076W	330	0.8085125046
YBR076C-A	331	0.8659082940
YBR077C	332	1.3926554017
YBR078W	333	0.9879658308
YBR079C	334	0.8179820763
YBR080C	335	0.7983570699
YBR081C	336	0.9335957136
YBR082C	337	1.0143082189
YBR083W	338	0.7710651828
YBR084W	339	0.9619506894
YBR084C-A	340	0.6998607497
YBR085W	341	0.8674698486
YBR085C-A	342	0.9673659674
YBR086C	343	1.2749322471
YBR087W	344	0.6857977562
YBR088C	345	0.8078611696
YBR089W	346	0.9449248318
YBR089C-A	347	1.6827408710
YBR090C	348	1.4825283483
YBR091C	349	0.7817042824
YBR092C	350	0.8706824368
YBR093C	351	0.8246318495
YBR094W	352	0.8327209146
YBR095C	353	0.7815147619
YBR096W	354	0.8171193296
YBR097W	355	0.9889857757
YBR098W	356	0.8821968166
YBR099C	357	1.2244628979
YBR101C	358	0.9676919974
YBR102C	359	0.9699518017
YBR103W	360	0.9789251126
YBR103C-A	361	1.3497063282
YBR104W	362	1.2136328416
YBR105C	363	0.8119587087
YBR106W	364	1.0247945612
YBR107C	365	0.9530499032
YBR108W	366	0.9125451641
YBR109C	367	0.9577325261
YBR109W-A	368	0.9070278837
YBR110W	369	0.9874243703
YBR111C	370	0.9157816083
YBR111W-A	371	0.5160493827
YBR112C	372	0.8883099110
YBR113W	373	2.2927781187
YBR114W	374	1.0223938229
YBR115C	375	0.9192672492
YBR116C	376	1.3181734514
YBR117C	377	0.8952972614
YBR118W	378	0.9965692992
YBR119W	379	0.8709771093
YBR120C	380	1.0147394541
YBR121C	381	0.7361669528
YBR121C-A	382	1.0610517598
YBR122C	383	1.0147339170
YBR123C	384	0.7501590194
YBR124W	385	0.9850682675
YBR125C	386	1.1500159030
YBR126C	387	0.8790367983
YBR126W-A	388	2.8136233524
YBR126W-B	389	0.5128109502
YBR127C	390	0.6738022113
YBR128C	391	0.9268946924
YBR129C	392	1.0582244928
YBR130C	393	1.0170948596
YBR131W	394	1.0864843561
YBR131C-A	395	0.6415732960
YBR132C	396	1.3511631085
YBR133C	397	0.9812146445
YBR134W	398	1.5661600811
YBR135W	399	1.6609079275
YBR136W	400	0.9545844628
YBR137W	401	0.9516889893
YBR138C	402	0.8822160001
YBR139W	403	0.9462255216
YBR140C	404	1.0410112668
YBR141C	405	1.0231275706
YBR141W-A	406	0.3625000000
YBR142W	407	0.9181469010
YBR143C	408	0.9458258831
YBR144C	409	0.7648479682
YBR145W	410	1.0224888476
YBR146W	411	1.0613967349
YBR147W	412	1.4391595094
YBR148W	413	0.8476279294
YBR149W	414	0.6327913985
YBR150C	415	1.1209435467
YBR151W	416	0.9473288175
YBR152W	417	1.0767375006
YBR153W	418	0.7594565790
YBR154C	419	0.8580500261
YBR155W	420	0.8923886931
YBR156C	421	0.8392123182
YBR157C	422	0.9768366642
YBR158W	423	0.8546468119
YBR159W	424	1.0509626705
YBR160W	425	0.6810896903
YBR161W	426	1.2035267179
YBR162C	427	1.0669700691
YBR162W-A	428	2.8342818157
YBR163W	429	0.8881588061
YBR164C	430	1.1212969053
YBR165W	431	1.1652118567
YBR166C	432	1.0123672243
YBR167C	433	1.2178543316
YBR168W	434	1.0354849871
YBR169C	435	0.9799374687
YBR170C	436	0.9929532019
YBR171W	437	0.9937078643
YBR172C	438	1.0105419377
YBR173C	439	0.9187194894
YBR174C	440	1.0880190745
YBR175W	441	0.6293793841
YBR176W	442	0.7453411957
YBR177C	443	0.9322002509
YBR178W	444	1.1459449076
YBR179C	445	0.9182144421
YBR180W	446	1.5418737288
YBR181C	447	0.9341740036
YBR182C	448	0.9319825276
YBR182C-A	449	0.8313517844
YBR183W	450	1.3268498747
YBR184W	451	0.9907951002
YBR185C	452	1.2292719527
YBR186W	453	0.8195979855
YBR187W	454	1.2955763043
YBR188C	455	0.8373754837
YBR189W	456	1.1910256141
YBR190W	457	1.1172123016
YBR191W	458	0.8668661826
YBR191W-A	459	0.2190476190
YBR192W	460	1.1829380403
YBR193C	461	0.7855866891
YBR194W	462	0.7953216374
YBR195C	463	0.9505379348
YBR196C	464	0.9414658479
YBR196C-A	465	1.0479103505
YBR196C-B	466	0.9783481769
YBR197C	467	0.7924009765
YBR198C	468	0.9145887784
YBR199W	469	1.1038808506
YBR200W	470	1.0546201724
YBR200W-A	471	1.2194368132
YBR201W	472	1.0046905962
YBR201C-A	473	1.6056547619
YBR202W	474	0.9966719631
YBR203W	475	1.0021610054
YBR204C	476	0.9836957686
YBR205W	477	0.8964257118
YBR206W	478	0.6703365443
YBR207W	479	1.6533715335
YBR208C	480	0.9484134993
YBR209W	481	1.1818513488
YBR210W	482	1.0202438828
YBR211C	483	0.7259357817
YBR212W	484	1.0897140024
YBR213W	485	1.1085036913
YBR214W	486	1.1248760833
YBR215W	487	0.9252261821
YBR216C	488	0.9134082933
YBR217W	489	1.3189463798
YBR218C	490	0.8511525437
YBR219C	491	0.8729788656
YBR220C	492	1.1684178802
YBR221C	493	0.8264398455
YBR221W-A	494	2.2596411483
YBR222C	495	1.0167797614
YBR223C	496	0.7570796329
YBR223W-A	497	0.7483552632
YBR224W	498	1.3863172135
YBR225W	499	0.9677831999
YBR226C	500	0.8085134120
YBR227C	501	0.9438729156
YBR228W	502	0.9210007679
YBR229C	503	0.9021585860
YBR230C	504	1.2403716213
YBR230W-A	505	0.8552631579
YBR231C	506	0.7635046126
YBR232C	507	1.1305289557
YBR233W	508	1.0956955306
YBR233W-A	509	1.3472905141
YBR234C	510	0.9921602116
YBR235W	511	1.4246814233
YBR236C	512	0.9209121860
YBR237W	513	0.9023024482
YBR238C	514	1.0973581082
YBR239C	515	1.0145616341
YBR240C	516	1.2412103687
YBR241C	517	1.3299556537
YBR242W	518	1.0000286573
YBR243C	519	1.3225184251
YBR244W	520	0.9153419142
YBR245C	521	1.0985265439
YBR246W	522	0.8739564409
YBR247C	523	0.9498724277
YBR248C	524	0.9314058376
YBR249C	525	0.8640175938
YBR250W	526	0.8792175051
YBR251W	527	0.7497904155
YBR252W	528	0.8629962029
YBR253W	529	0.7155723983
YBR254C	530	0.6112843945
YBR255W	531	1.0968171164
YBR255C-A	532	1.8848207475
YBR256C	533	0.8668669912
YBR257W	534	1.1250667924
YBR258C	535	0.6955394744
YBR259W	536	0.8282145908
YBR260C	537	0.9944423119
YBR261C	538	0.9054993881
YBR262C	539	0.8080672202
YBR263W	540	0.8607409771
YBR264C	541	1.2076874656
YBR265W	542	1.0019192262
YBR267W	543	0.8711762380
YBR266C	544	1.1784336420
YBR268W	545	0.7066266039
YBR269C	546	0.5910143098
YBR270C	547	0.8937016293
YBR271W	548	0.9810638459
YBR272C	549	0.8039414444
YBR273C	550	1.0653562065
YBR274W	551	0.9332395632
YBR275C	552	1.0040461396
YBR276C	553	0.8220757991
YBR277C	554	1.1295080532
YBR278W	555	1.0561597881
YBR279W	556	0.9660112074
YBR280C	557	0.7945995210
YBR281C	558	0.8058420855
YBR282W	559	0.7445355573
YBR283C	560	1.0873335194
YBR284W	561	0.8482133305
YBR285W	562	0.9947826087
YBR286W	563	1.0893567618
YBR287W	564	1.1541059891
YBR288C	565	0.6991381710
YBR289W	566	1.0899509845
YBR290W	567	1.3592858889
YBR291C	568	1.2963446101
YBR292C	569	1.5002373650
YBR293W	570	1.2596854320
YBR294W	571	1.2458296389
YBR295W	572	1.1382140531
YBR296C	573	1.4965709529
YBR296C-A	574	0.3250000000
YBR297W	575	1.1560827514
YBR298C	576	1.3486273685
YBR298C-A	577	0.9699592304
YBR299W	578	0.9988046611
YBR300C	579	1.2277599855
YBR301W	580	1.3556543484
YBR302C	581	1.0610418703
YCL076W	582	0.9796526055
YCL073C	583	1.3145551079
YCL069W	584	1.5502237252
YCL068C	585	0.9537901646
YCL067C	586	0.8764829399
YCL066W	587	0.8127698228
YCL065W	588	0.8978155444
YCL064C	589	0.7111844197
YCL063W	590	0.9460972558
YCL061C	591	0.8729232284
YCL059C	592	0.8173518606
YCL058C	593	1.1146345421
YCL058W-A	594	1.0397339524
YCL057C-A	595	1.8912037037
YCL057W	596	0.8043671954
YCL056C	597	0.6908212560
YCL055W	598	0.9123025469
YCL054W	599	1.1569861503
YCL052C	600	0.9368692623
YCL051W	601	0.8625072874
YCL050C	602	0.8811252035
YCL049C	603	0.9174229888
YCL048W-A	604	2.2346813725
YCL048W	605	0.9666821994
YCL047C	606	0.7889468453
YCL045C	607	0.9999072778
YCL046W	608	1.1494069106
YCL044C	609	1.1384336668
YCL043C	610	0.5431435445
YCL041C	611	1.4581246114
YCL042W	612	1.5424538061
YCL040W	613	1.0019327515
YCL039W	614	0.7528929341
YCL038C	615	1.3391948961
YCL037C	616	1.3049377355
YCL036W	617	0.7198858580
YCL035C	618	0.6198171173
YCL034W	619	1.1004449197
YCL033C	620	0.9228689006
YCL032W	621	0.9147624008
YCL031C	622	1.0167175353
YCL030C	623	0.8061107676
YCL029C	624	0.9111185038
YCL028W	625	1.4229226412
YCL027W	626	1.0974331152
YCL026C-B	627	1.0400433333
YCL026C-A	628	1.3435812805
YCL025C	629	1.4961644002
YCL023C	630	0.9528769841
YCL024W	631	1.0350314748
YCL022C	632	1.4348721728
YCL021W-A	633	1.6060302393
YCL019W	634	1.0435190383
YCL020W	635	1.0016566812
YCL018W	636	0.9923658216
YCL017C	637	0.8374595312
YCL016C	638	0.9180978196
YCL014W	639	1.0248203371
YCL012C	640	0.7339541937
YCL011C	641	1.1602079518
YCL010C	642	0.9149405353
YCL009C	643	0.8119589528
YCL008C	644	0.8822264577
YCL007C	645	1.8765954863
YCL005W-A	646	2.3612071569
YCL005W	647	1.4993420247
YCL004W	648	0.8207473816
YCL002C	649	1.1694057901
YCL001W	650	1.6022825047
YCL001W-A	651	0.9910520450
YCL001W-B	652	0.7980769231
YCR001W	653	0.6994167194
YCR002C	654	0.7608068882
YCR003W	655	1.3661829454
YCR004C	656	1.0350794125
YCR005C	657	1.0266763305
YCR006C	658	1.0173246710
YCR007C	659	1.0692165077
YCR008W	660	1.0259177948
YCR009C	661	0.7809553080
YCR010C	662	1.5218733911
YCR011C	663	1.1460110624
YCR012W	664	0.9583841462
YCR013C	665	1.0252059046
YCR014C	666	0.9752378312
YCR015C	667	0.7714960864
YCR016W	668	0.9266116872
YCR017C	669	1.2931233756
YCR018C	670	0.9102022163
YCR018C-A	671	1.1624852742
YCR019W	672	1.0079214992
YCR020C	673	0.7134314465
YCR020C-A	674	0.8387062937
YCR020W-B	675	1.1913207547
YCR021C	676	1.2187276567
YCR022C	677	0.9392583120
YCR023C	678	1.2477661515
YCR024C	679	1.0384575492
YCR024C-B	680	1.3413940536
YCR024C-A	681	1.9763333333
YCR025C	682	1.1007387163
YCR026C	683	0.9771497310
YCR027C	684	1.0264291451
YCR028C	685	1.2904792711
YCR028C-A	686	0.6578616362
YCR030C	687	0.8498940587
YCR031C	688	1.1365321929
YCR032W	689	0.9280691644
YCR033W	690	1.0474080842
YCR034W	691	0.9877722888
YCR035C	692	0.7691397434
YCR036W	693	0.8371811249
YCR037C	694	1.3756128078
YCR038C	695	0.9254244038
YCR038W-A	696	1.9126741486
YCR039C	697	0.8764829399
YCR040W	698	0.8127698228
YCR041W	699	0.7469799065
YCR042C	700	0.9836727146
YCR043C	701	1.0175540123
YCR044C	702	1.2140786528
YCR045C	703	1.0190233528
YCR045W-A	704	1.0842245370
YCR046C	705	0.7601044897
YCR047C	706	1.0601216576
YCR047W-A	707	1.2705284553
YCR049C	708	1.2619051714
YCR048W	709	1.2959553605
YCR050C	710	1.2893617021
YCR051W	711	0.9285885786
YCR052W	712	0.9949468242
YCR053W	713	0.9036889429
YCR054C	714	0.9444585529
YCR057C	715	0.9762892897
YCR059C	716	1.3496636006
YCR060W	717	0.8622055640
YCR061W	718	1.5529999891
YCR064C	719	1.0370638485
YCR063W	720	0.6503967986
YCR065W	721	0.9954350103
YCR066W	722	0.8022422477
YCR067C	723	0.9795054865
YCR068W	724	0.9304818451
YCR069W	725	1.4162832053
YCR071C	726	0.6731612909
YCR072C	727	0.7693263395
YCR073C	728	0.8773085361
YCR073W-A	729	0.9516787017
YCR075C	730	1.1033839320
YCR075W-A	731	0.5407233392
YCR076C	732	1.0460992591
YCR077C	733	1.0209987813
YCR079W	734	0.9387519349
YCR081W	735	0.9760734761
YCR081C-A	736	1.3728682171
YCR082W	737	0.6085526316
YCR083W	738	0.7378361076
YCR084C	739	0.9625120679
YCR085W	740	1.2769303038
YCR086W	741	0.9112049783
YCR087W	742	1.3338790393
YCR087C-A	743	1.0555955685
YCR088W	744	1.0433254076
YCR089W	745	0.8275308583
YCR090C	746	0.8486967057
YCR091W	747	0.8476748250
YCR092C	748	0.7855119221
YCR093W	749	1.0933021020
YCR094W	750	1.2284586370
YCR095C	751	0.9002567707
YCR095W-A	752	1.1657175868
YCR096C	753	1.1534576778
YCR097W	754	0.8661308204
YCR097W-A	755	0.8318699684
YCR098C	756	1.7052692453
YCR099C	757	1.0052996599
YCR100C	758	0.8947655795
YCR101C	759	1.0956092813
YCR102C	760	0.9375792427
YCR102W-A	761	1.0053164373
YCR104W	762	1.2932915413
YCR105W	763	1.1503249047
YCR106W	764	1.0699316347
YCR107W	765	0.9689881826
YCR108C	766	0.8331193838
YDL248W	767	1.1500361956
YDL247W-A	768	0.9583333333
YDL247W	769	1.3987410880
YDL246C	770	1.0022569282
YDL245C	771	1.2639221049
YDL244W	772	0.9107926642
YDL243C	773	0.9708088094
YDL242W	774	0.9957505815
YDL241W	775	1.0612057576
YDL240C-A	776	1.9892911122
YDL240W	777	0.9217502923
YDL239C	778	0.8357531808
YDL238C	779	0.9953174258
YDL237W	780	1.0570227035
YDL236W	781	0.9031603019
YDL235C	782	1.0159270506
YDL234C	783	0.9564591437
YDL233W	784	0.8495937136
YDL232W	785	1.9287925697
YDL231C	786	1.1759089938
YDL230W	787	0.8934548778
YDL229W	788	0.9142371076
YDL228C	789	0.8477111670
YDL227C	790	0.8786981302
YDL226C	791	0.8679835378
YDL225W	792	0.8430834865
YDL224C	793	0.7996511614
YDL223C	794	0.9745652778
YDL222C	795	1.7892820809
YDL221W	796	0.8850379969
YDL220C	797	0.8682679068
YDL219W	798	0.8640004782
YDL218W	799	1.9117957361
YDL217C	800	1.6959018507
YDL216C	801	1.0230585550
YDL215C	802	0.9746394095
YDL214C	803	1.0795685103
YDL213C	804	1.1626230661
YDL212W	805	1.5378807296
YDL211C	806	1.1671035290
YDL210W	807	1.4478849557
YDL209C	808	0.9937715389
YDL208W	809	1.4952380952
YDL207W	810	1.3492258294
YDL206W	811	1.3237522881
YDL205C	812	1.1172293074
YDL204W	813	1.2543659829
YDL203C	814	0.8731070560
YDL202W	815	1.1696098194
YDL201W	816	0.9844788793
YDL200C	817	1.0439509586
YDL199C	818	1.3057118563
YDL198C	819	0.9335788737
YDL197C	820	0.8903863299
YDL196W	821	1.1387610013
YDL195W	822	1.0256763229
YDL194W	823	1.5822298739
YDL193W	824	0.9085298572
YDL192W	825	1.0780299023
YDL191W	826	0.9439687736
YDL190C	827	0.8970513365
YDL189W	828	0.9161267785
YDL188C	829	0.9763961441
YDL187C	830	1.1739239127
YDL186W	831	0.8546693899
YDL185C-A	832	1.0682347955
YDL185W	833	0.8402621012
YDL184C	834	1.1537361923
YDL183C	835	0.9364727262
YDL182W	836	0.8067261940
YDL181W	837	0.6472893486
YDL180W	838	1.3506411864
YDL179W	839	0.7986903728
YDL178W	840	0.8976021545
YDL177C	841	0.9685042274
YDL176W	842	0.8652120879
YDL175C	843	1.2045476295
YDL174C	844	1.0361848090
YDL173W	845	1.3589894505
YDL172C	846	1.2433402671
YDL171C	847	0.8873920170
YDL170W	848	1.0554542371
YDL169C	849	1.3106202931
YDL168W	850	0.8620484088
YDL167C	851	1.0046614320
YDL166C	852	1.0791049068
YDL165W	853	1.0369546101
YDL164C	854	0.9106611726
YDL163W	855	1.1426094788
YDL162C	856	1.4556131373
YDL161W	857	0.9806155816
YDL160C-A	858	0.9973991607
YDL160C	859	1.1141619047
YDL159W-A	860	0.3106060606
YDL159W	861	0.9419841399
YDL159C-B	862	1.1830224404
YDL158C	863	0.8475115741
YDL157C	864	1.8145072850
YDL156W	865	0.9769480056
YDL155W	866	1.2714725295
YDL154W	867	0.8978356890
YDL153C	868	0.8871780034
YDL152W	869	1.6184475273
YDL151C	870	1.1324363932
YDL150W	871	1.0140387098
YDL149W	872	1.1389925118
YDL148C	873	1.1363334191
YDL147W	874	0.7340602901
YDL146W	875	1.0833990636
YDL145C	876	0.9576132927
YDL144C	877	0.9133679000
YDL143W	878	0.8553692055
YDL142C	879	1.4633013871
YDL141W	880	0.7409886642
YDL140C	881	1.1676933126
YDL139C	882	0.9870696176
YDL138W	883	1.6564844314
YDL137W	884	1.0437048504
YDL136W	885	0.9439687736
YDL135C	886	0.9242808219
YDL134C	887	0.9524616828
YDL133C-A	888	1.1537361923
YDL133W	889	1.4157928931
YDL132W	890	0.8972209663
YDL131W	891	0.8904240502
YDL130W-A	892	0.9872835031
YDL130W	893	1.5233227587
YDL129W	894	0.8771921891
YDL128W	895	1.3050518484
YDL127W	896	0.8995872837
YDL126C	897	0.7754857827
YDL125C	898	0.7628493321
YDL124W	899	0.6847927293
YDL123W	900	1.7856274384
YDL122W	901	1.0554787168
YDL121C	902	1.6244036503
YDL120W	903	0.7134298164
YDL119C	904	1.2090398652
YDL118W	905	1.2121212121
YDL117W	906	1.0142762859
YDL116W	907	0.9368262476
YDL115C	908	1.3003520980
YDL114W-A	909	0.4606060606
YDL114W	910	0.9420293579
YDL113C	911	0.8901604065
YDL112W	912	0.9237048355
YDL111C	913	0.9370542095
YDL110C	914	0.6651785714
